classification,type,bracket,units,employees,salaried,wages.thousand,avg.min.wages
20.2 Fabricação de produtos químicos orgânicos,c,Total,446,26299,25653,2729354,"10,4"
20.2 Fabricação de produtos químicos orgânicos,c,0 a 4,186,350,118,32903,"10,4"
20.2 Fabricação de produtos químicos orgânicos,c,5 a 9,73,478,347,9312,"2,5"
20.2 Fabricação de produtos químicos orgânicos,c,10 a 19,58,809,692,22132,"2,8"
20.2 Fabricação de produtos químicos orgânicos,c,20 a 29,31,749,697,19600,"2,7"
20.2 Fabricação de produtos químicos orgânicos,c,30 a 49,23,881,849,31865,"3,7"
20.2 Fabricação de produtos químicos orgânicos,c,50 a 99,26,1848,1810,90669,"4,9"
20.2 Fabricação de produtos químicos orgânicos,c,100 a 249,33,5228,5191,422727,"7,7"
20.2 Fabricação de produtos químicos orgânicos,c,250 a 499,10,3494,3487,281083,"7,7"
20.2 Fabricação de produtos químicos orgânicos,c,500 ou mais,6,12462,12462,1819064,"14,9"
20.3 Fabricação de resinas e elastômeros,c,Total,342,14919,14483,989514,"6,5"
20.3 Fabricação de resinas e elastômeros,c,0 a 4,102,X,X,X,X
20.3 Fabricação de resinas e elastômeros,c,5 a 9,52,360,270,8344,"2,5"
20.3 Fabricação de resinas e elastômeros,c,10 a 19,64,901,824,23926,"2,6"
20.3 Fabricação de resinas e elastômeros,c,20 a 29,18,437,411,10077,"2,5"
20.3 Fabricação de resinas e elastômeros,c,30 a 49,30,1145,1102,38316,"3,1"
20.3 Fabricação de resinas e elastômeros,c,50 a 99,39,2784,2740,155054,"5,2"
20.3 Fabricação de resinas e elastômeros,c,100 a 249,27,3906,3890,321229,"7,8"
20.3 Fabricação de resinas e elastômeros,c,250 a 499,8,3009,3009,296541,"9,4"
20.3 Fabricação de resinas e elastômeros,c,500 ou mais,2,X,X,X,X
20.4 Fabricação de fibras artificiais e sintéticas,c,Total,95,5678,5525,201180,"4,1"
20.4 Fabricação de fibras artificiais e sintéticas,c,0 a 4,39,91,29,1849,"2,1"
20.4 Fabricação de fibras artificiais e sintéticas,c,5 a 9,18,118,77,1423,"1,8"
20.4 Fabricação de fibras artificiais e sintéticas,c,10 a 19,16,211,182,3682,"1,8"
20.4 Fabricação de fibras artificiais e sintéticas,c,20 a 29,2,X,X,X,X
20.4 Fabricação de fibras artificiais e sintéticas,c,30 a 49,-,-,-,-,-
20.4 Fabricação de fibras artificiais e sintéticas,c,50 a 99,8,543,530,12611,"2,1"
20.4 Fabricação de fibras artificiais e sintéticas,c,100 a 249,4,619,619,23551,"3,4"
20.4 Fabricação de fibras artificiais e sintéticas,c,250 a 499,7,2742,2737,144872,"4,9"
20.4 Fabricação de fibras artificiais e sintéticas,c,500 ou mais,1,X,X,X,X
20.5 Fabricação de defensivos agrícolas e desinfestantes domissanitários,c,Total,238,23396,23061,2933420,"12,1"
20.5 Fabricação de defensivos agrícolas e desinfestantes domissanitários,c,0 a 4,116,X,X,X,X
20.5 Fabricação de defensivos agrícolas e desinfestantes domissanitários,c,5 a 9,37,238,175,5274,"2,7"
20.5 Fabricação de defensivos agrícolas e desinfestantes domissanitários,c,10 a 19,29,381,327,6381,"1,8"
20.5 Fabricação de defensivos agrícolas e desinfestantes domissanitários,c,20 a 29,9,X,X,X,X
20.5 Fabricação de defensivos agrícolas e desinfestantes domissanitários,c,30 a 49,9,360,351,12346,"3,2"
20.5 Fabricação de defensivos agrícolas e desinfestantes domissanitários,c,50 a 99,16,1239,1211,43587,"3,6"
20.5 Fabricação de defensivos agrícolas e desinfestantes domissanitários,c,100 a 249,9,1373,1366,89111,"6,5"
20.5 Fabricação de defensivos agrícolas e desinfestantes domissanitários,c,250 a 499,5,1740,1736,251861,"13,5"
20.5 Fabricação de defensivos agrícolas e desinfestantes domissanitários,c,500 ou mais,8,17624,17620,2516819,"13,5"
"20.6 Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal",c,Total,4223,106197,99737,3464540,"3,3"
"20.6 Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal",c,0 a 4,2024,4027,1350,26180,"1,6"
"20.6 Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal",c,5 a 9,861,5814,4345,78874,"1,7"
"20.6 Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal",c,10 a 19,659,9021,7776,157725,"1,9"
"20.6 Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal",c,20 a 29,246,5896,5431,119143,2
"20.6 Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal",c,30 a 49,176,6646,6403,150123,"2,2"
"20.6 Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal",c,50 a 99,110,7839,7676,184326,"2,4"
"20.6 Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal",c,100 a 249,90,13817,13698,386164,"2,6"
"20.6 Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal",c,250 a 499,26,9198,9149,244171,"2,6"
"20.6 Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal",c,500 ou mais,31,43939,43909,2117835,"4,5"
"20.7 Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins",c,Total,1436,34893,32629,1573005,"4,6"
"20.7 Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins",c,0 a 4,588,1286,511,14229,2
"20.7 Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins",c,5 a 9,326,2168,1613,34322,2
"20.7 Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins",c,10 a 19,253,3454,2980,73958,"2,3"
"20.7 Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins",c,20 a 29,83,1950,1801,51798,"2,6"
"20.7 Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins",c,30 a 49,71,2680,2556,84125,3
"20.7 Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins",c,50 a 99,54,3842,3745,128751,"3,2"
"20.7 Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins",c,100 a 249,38,5846,5797,257084,"4,2"
"20.7 Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins",c,250 a 499,15,5003,4971,254279,"4,8"
"20.7 Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins",c,500 ou mais,8,8664,8655,674459,"7,6"
20.9 Fabricação de produtos e preparados químicos diversos,c,Total,2003,48279,44978,2561609,"5,4"
20.9 Fabricação de produtos e preparados químicos diversos,c,0 a 4,825,1737,633,23680,"2,3"
20.9 Fabricação de produtos e preparados químicos diversos,c,5 a 9,422,2786,1983,51034,"2,4"
20.9 Fabricação de produtos e preparados químicos diversos,c,10 a 19,332,4617,3955,116679,"2,8"
20.9 Fabricação de produtos e preparados químicos diversos,c,20 a 29,130,3147,2894,92247,3
20.9 Fabricação de produtos e preparados químicos diversos,c,30 a 49,104,3977,3791,143200,"3,6"
20.9 Fabricação de produtos e preparados químicos diversos,c,50 a 99,111,7675,7482,323448,"4,3"
20.9 Fabricação de produtos e preparados químicos diversos,c,100 a 249,53,7742,7688,579389,"7,1"
20.9 Fabricação de produtos e preparados químicos diversos,c,250 a 499,13,4465,4447,383816,"8,2"
20.9 Fabricação de produtos e preparados químicos diversos,c,500 ou mais,13,12133,12105,848117,"6,7"
21.1 Fabricação de produtos farmoquímicos,c,Total,110,2058,1893,88388,"4,5"
21.1 Fabricação de produtos farmoquímicos,c,0 a 4,58,117,28,5428,"6,3"
21.1 Fabricação de produtos farmoquímicos,c,5 a 9,14,90,66,1648,"2,3"
21.1 Fabricação de produtos farmoquímicos,c,10 a 19,15,205,185,8284,"4,3"
21.1 Fabricação de produtos farmoquímicos,c,20 a 29,6,145,139,3749,"2,7"
21.1 Fabricação de produtos farmoquímicos,c,30 a 49,5,182,176,7082,"3,8"
21.1 Fabricação de produtos farmoquímicos,c,50 a 99,7,527,517,16361,3
21.1 Fabricação de produtos farmoquímicos,c,100 a 249,5,792,782,45836,"6,1"
21.1 Fabricação de produtos farmoquímicos,c,250 a 499,-,-,-,-,-
21.1 Fabricação de produtos farmoquímicos,c,500 ou mais,-,-,-,-,-
21.2 Fabricação de produtos farmacêuticos,c,Total,614,105180,104241,7877429,"7,1"
21.2 Fabricação de produtos farmacêuticos,c,0 a 4,175,391,156,5043,"2,3"
21.2 Fabricação de produtos farmacêuticos,c,5 a 9,81,533,357,8565,"2,2"
21.2 Fabricação de produtos farmacêuticos,c,10 a 19,78,1119,996,28646,"2,7"
21.2 Fabricação de produtos farmacêuticos,c,20 a 29,41,986,915,26768,"2,6"
21.2 Fabricação de produtos farmacêuticos,c,30 a 49,34,1313,1269,42330,"3,3"
21.2 Fabricação de produtos farmacêuticos,c,50 a 99,50,3730,3618,118497,"3,1"
21.2 Fabricação de produtos farmacêuticos,c,100 a 249,63,9506,9418,487889,"4,7"
21.2 Fabricação de produtos farmacêuticos,c,250 a 499,36,12660,12617,713841,"5,4"
21.2 Fabricação de produtos farmacêuticos,c,500 ou mais,56,74942,74895,6445851,"8,1"
22.1 Fabricação de produtos de borracha,c,Total,2933,91921,87272,3656436,"3,8"
22.1 Fabricação de produtos de borracha,c,0 a 4,1105,2365,888,23127,"1,7"
22.1 Fabricação de produtos de borracha,c,5 a 9,569,3866,2904,58023,"1,8"
22.1 Fabricação de produtos de borracha,c,10 a 19,593,8150,7074,153838,2
22.1 Fabricação de produtos de borracha,c,20 a 29,257,6166,5678,130979,"2,1"
22.1 Fabricação de produtos de borracha,c,30 a 49,182,6899,6615,161794,"2,3"
22.1 Fabricação de produtos de borracha,c,50 a 99,131,9093,8877,232086,"2,5"
22.1 Fabricação de produtos de borracha,c,100 a 249,53,8430,8339,256268,"2,9"
22.1 Fabricação de produtos de borracha,c,250 a 499,25,8946,8907,370631,"3,7"
22.1 Fabricação de produtos de borracha,c,500 ou mais,18,38006,37990,2269691,"5,4"
22.2 Fabricação de produtos de material plástico,c,Total,13120,324921,304546,9163694,"2,7"
22.2 Fabricação de produtos de material plástico,c,0 a 4,5115,10716,3772,112574,"1,8"
22.2 Fabricação de produtos de material plástico,c,5 a 9,2554,17175,12769,268006,"1,8"
22.2 Fabricação de produtos de material plástico,c,10 a 19,2381,32869,28647,625058,2
22.2 Fabricação de produtos de material plástico,c,20 a 29,1034,24837,23028,527232,"2,1"
22.2 Fabricação de produtos de material plástico,c,30 a 49,777,29842,28696,723410,"2,3"
22.2 Fabricação de produtos de material plástico,c,50 a 99,678,47305,46328,1181303,"2,4"
22.2 Fabricação de produtos de material plástico,c,100 a 249,401,61749,61165,1873227,"2,8"
22.2 Fabricação de produtos de material plástico,c,250 a 499,124,43352,43161,1543308,"3,4"
22.2 Fabricação de produtos de material plástico,c,500 ou mais,56,57076,56980,2309577,"3,7"
23.1 Fabricação de vidro e de produtos do vidro,c,Total,1167,45467,43813,1651931,"3,4"
23.1 Fabricação de vidro e de produtos do vidro,c,0 a 4,413,X,X,X,X
23.1 Fabricação de vidro e de produtos do vidro,c,5 a 9,205,1397,1075,18400,"1,7"
23.1 Fabricação de vidro e de produtos do vidro,c,10 a 19,189,2571,2245,54944,"2,2"
23.1 Fabricação de vidro e de produtos do vidro,c,20 a 29,94,2260,2114,43939,2
23.1 Fabricação de vidro e de produtos do vidro,c,30 a 49,95,X,X,X,X
23.1 Fabricação de vidro e de produtos do vidro,c,50 a 99,96,6846,6718,166104,"2,3"
23.1 Fabricação de vidro e de produtos do vidro,c,100 a 249,45,7072,6990,195612,"2,6"
23.1 Fabricação de vidro e de produtos do vidro,c,250 a 499,15,5030,5018,178520,"3,2"
23.1 Fabricação de vidro e de produtos do vidro,c,500 ou mais,15,15778,15758,902160,"5,3"
23.2 Fabricação de cimento,c,Total,53,27604,27550,1832830,"6,1"
23.2 Fabricação de cimento,c,0 a 4,10,X,X,X,X
23.2 Fabricação de cimento,c,5 a 9,5,32,14,8901,"6,6"
23.2 Fabricação de cimento,c,10 a 19,3,36,31,3033,"7,4"
23.2 Fabricação de cimento,c,20 a 29,-,-,-,-,-
23.2 Fabricação de cimento,c,30 a 49,1,X,X,X,X
23.2 Fabricação de cimento,c,50 a 99,5,340,333,9283,3
23.2 Fabricação de cimento,c,100 a 249,5,870,870,33601,"3,8"
23.2 Fabricação de cimento,c,250 a 499,7,2625,2622,131562,"4,5"
23.2 Fabricação de cimento,c,500 ou mais,17,23653,23642,1640692,"6,4"
"23.3 Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",c,Total,13619,154611,134513,3620242,"2,5"
"23.3 Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",c,0 a 4,6931,14809,5930,124373,"1,5"
"23.3 Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",c,5 a 9,3210,21405,16246,267794,"1,5"
"23.3 Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",c,10 a 19,2116,28455,24738,439423,"1,7"
"23.3 Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",c,20 a 29,678,16139,14840,292494,"1,8"
"23.3 Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",c,30 a 49,341,12560,12049,264868,2
"23.3 Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",c,50 a 99,216,14829,14510,356510,"2,2"
"23.3 Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",c,100 a 249,73,11181,11051,329557,"2,9"
"23.3 Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",c,250 a 499,37,12659,12592,354556,"2,8"
"23.3 Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",c,500 ou mais,17,22574,22557,1190668,"4,8"
23.4 Fabricação de produtos cerâmicos,c,Total,8303,176077,163433,3559061,2
23.4 Fabricação de produtos cerâmicos,c,0 a 4,2916,5653,2042,63006,"1,5"
23.4 Fabricação de produtos cerâmicos,c,5 a 9,1441,9888,7613,126024,"1,4"
23.4 Fabricação de produtos cerâmicos,c,10 a 19,1695,23645,20726,323697,"1,4"
23.4 Fabricação de produtos cerâmicos,c,20 a 29,921,22128,20461,319275,"1,4"
23.4 Fabricação de produtos cerâmicos,c,30 a 49,715,26914,25757,377483,"1,4"
23.4 Fabricação de produtos cerâmicos,c,50 a 99,465,31776,31007,499088,"1,5"
23.4 Fabricação de produtos cerâmicos,c,100 a 249,90,13037,12912,291293,"2,1"
23.4 Fabricação de produtos cerâmicos,c,250 a 499,32,11060,11001,355026,"3,1"
23.4 Fabricação de produtos cerâmicos,c,500 ou mais,28,31976,31914,1204169,"3,6"
23.9 Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos,c,Total,8856,97712,84496,2371982,"2,7"
23.9 Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos,c,0 a 4,3955,8935,3984,78785,"1,6"
23.9 Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos,c,5 a 9,2444,16374,12476,226802,"1,7"
23.9 Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos,c,10 a 19,1599,21227,18340,371985,"1,9"
23.9 Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos,c,20 a 29,397,9445,8716,188974,2
23.9 Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos,c,30 a 49,224,8351,8000,183975,"2,2"
23.9 Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos,c,50 a 99,159,10705,10423,303532,"2,7"
23.9 Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos,c,100 a 249,61,9453,9358,332258,"3,5"
23.9 Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos,c,250 a 499,11,4259,4242,150835,"3,6"
23.9 Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos,c,500 ou mais,6,8963,8957,534837,"5,8"
24.1 Produção de ferro-gusa e de ferroligas,c,Total,183,21343,20990,994192,"4,4"
24.1 Produção de ferro-gusa e de ferroligas,c,0 a 4,66,128,37,2608,"2,9"
24.1 Produção de ferro-gusa e de ferroligas,c,5 a 9,30,227,168,5129,"1,9"
24.1 Produção de ferro-gusa e de ferroligas,c,10 a 19,22,325,245,10524,"2,4"
24.1 Produção de ferro-gusa e de ferroligas,c,20 a 29,4,91,86,3077,"1,6"
24.1 Produção de ferro-gusa e de ferroligas,c,30 a 49,7,269,254,9347,"2,8"
24.1 Produção de ferro-gusa e de ferroligas,c,50 a 99,10,821,809,32429,"2,8"
24.1 Produção de ferro-gusa e de ferroligas,c,100 a 249,26,4220,4170,117981,"2,7"
24.1 Produção de ferro-gusa e de ferroligas,c,250 a 499,8,2920,2898,101995,"3,2"
24.1 Produção de ferro-gusa e de ferroligas,c,500 ou mais,10,12342,12323,711102,"5,7"
24.2 Siderurgia,c,Total,462,91443,90707,6114977,6
24.2 Siderurgia,c,0 a 4,153,321,112,5183,"2,5"
24.2 Siderurgia,c,5 a 9,77,510,390,31806,7
24.2 Siderurgia,c,10 a 19,73,1028,896,25965,"2,5"
24.2 Siderurgia,c,20 a 29,29,694,643,18197,"2,5"
24.2 Siderurgia,c,30 a 49,43,1636,1563,49315,"2,9"
24.2 Siderurgia,c,50 a 99,34,2318,2260,81283,"3,4"
24.2 Siderurgia,c,100 a 249,29,4453,4405,189787,4
24.2 Siderurgia,c,250 a 499,7,2248,2236,114086,"4,6"
24.2 Siderurgia,c,500 ou mais,17,78235,78202,5599357,"6,4"
"24.3 Produção de tubos de aço, exceto tubos sem costura",c,Total,279,22377,21987,1217147,"4,8"
"24.3 Produção de tubos de aço, exceto tubos sem costura",c,0 a 4,102,214,98,4349,"2,4"
"24.3 Produção de tubos de aço, exceto tubos sem costura",c,5 a 9,37,243,193,5176,"2,2"
"24.3 Produção de tubos de aço, exceto tubos sem costura",c,10 a 19,31,416,369,9330,"2,5"
"24.3 Produção de tubos de aço, exceto tubos sem costura",c,20 a 29,15,364,332,17497,"3,8"
"24.3 Produção de tubos de aço, exceto tubos sem costura",c,30 a 49,27,1057,1011,29593,"2,5"
"24.3 Produção de tubos de aço, exceto tubos sem costura",c,50 a 99,27,1965,1918,72622,"3,4"
"24.3 Produção de tubos de aço, exceto tubos sem costura",c,100 a 249,19,2853,2827,113659,"3,8"
"24.3 Produção de tubos de aço, exceto tubos sem costura",c,250 a 499,14,4783,4764,233048,"4,5"
"24.3 Produção de tubos de aço, exceto tubos sem costura",c,500 ou mais,7,10482,10475,731873,"5,7"
24.4 Metalurgia dos metais não-ferrosos,c,Total,1239,55830,53989,3131508,"5,3"
24.4 Metalurgia dos metais não-ferrosos,c,0 a 4,535,1126,425,51640,"3,3"
24.4 Metalurgia dos metais não-ferrosos,c,5 a 9,250,1645,1226,35272,"2,4"
24.4 Metalurgia dos metais não-ferrosos,c,10 a 19,198,2705,2357,63101,"2,4"
24.4 Metalurgia dos metais não-ferrosos,c,20 a 29,67,1598,1491,41917,"2,6"
24.4 Metalurgia dos metais não-ferrosos,c,30 a 49,58,2264,2181,70317,"2,9"
24.4 Metalurgia dos metais não-ferrosos,c,50 a 99,67,4714,4611,138055,"2,8"
24.4 Metalurgia dos metais não-ferrosos,c,100 a 249,32,5306,5243,193488,"3,3"
24.4 Metalurgia dos metais não-ferrosos,c,250 a 499,12,4392,4385,166239,"3,8"
24.4 Metalurgia dos metais não-ferrosos,c,500 ou mais,20,32080,32070,2371480,"6,9"
24.5 Fundição,c,Total,1871,35962,32944,1074830,"2,8"
24.5 Fundição,c,0 a 4,831,1749,649,19563,"1,9"
24.5 Fundição,c,5 a 9,374,2541,1872,45341,"2,1"
24.5 Fundição,c,10 a 19,328,4458,3853,91375,"2,1"
24.5 Fundição,c,20 a 29,115,2711,2498,62414,"2,3"
24.5 Fundição,c,30 a 49,93,3495,3335,77095,"2,2"
24.5 Fundição,c,50 a 99,85,6167,5979,164208,"2,5"
24.5 Fundição,c,100 a 249,28,4201,4158,148870,"3,1"
24.5 Fundição,c,250 a 499,10,3585,3561,140414,"3,3"
24.5 Fundição,c,500 ou mais,7,7055,7039,325549,"3,8"
25.1 Fabricação de estruturas metálicas e obras de caldeiraria pesada,c,Total,17294,163391,138809,3852446,"2,5"
25.1 Fabricação de estruturas metálicas e obras de caldeiraria pesada,c,0 a 4,10053,21149,8554,194777,"1,6"
25.1 Fabricação de estruturas metálicas e obras de caldeiraria pesada,c,5 a 9,3735,24295,18288,354441,"1,8"
25.1 Fabricação de estruturas metálicas e obras de caldeiraria pesada,c,10 a 19,2030,27197,23666,523520,2
25.1 Fabricação de estruturas metálicas e obras de caldeiraria pesada,c,20 a 29,649,15442,14294,347038,"2,2"
25.1 Fabricação de estruturas metálicas e obras de caldeiraria pesada,c,30 a 49,412,15571,14972,367174,"2,2"
25.1 Fabricação de estruturas metálicas e obras de caldeiraria pesada,c,50 a 99,259,17139,16731,458535,"2,5"
25.1 Fabricação de estruturas metálicas e obras de caldeiraria pesada,c,100 a 249,106,15949,15751,490960,"3,1"
25.1 Fabricação de estruturas metálicas e obras de caldeiraria pesada,c,250 a 499,33,11117,11058,365539,"3,1"
25.1 Fabricação de estruturas metálicas e obras de caldeiraria pesada,c,500 ou mais,17,15532,15495,750462,"4,5"
"25.3 Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais",c,Total,10781,101366,85200,2568355,"2,7"
"25.3 Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais",c,0 a 4,6519,13404,4774,135661,2
"25.3 Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais",c,5 a 9,1951,12872,9477,222108,"2,1"
"25.3 Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais",c,10 a 19,1253,17054,14757,393043,"2,4"
"25.3 Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais",c,20 a 29,428,10172,9378,264671,"2,5"
"25.3 Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais",c,30 a 49,338,12713,12126,344988,"2,6"
"25.3 Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais",c,50 a 99,185,12833,12529,379837,"2,7"
"25.3 Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais",c,100 a 249,85,12947,12821,455419,"3,1"
"25.3 Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais",c,250 a 499,16,X,X,X,X
"25.3 Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais",c,500 ou mais,6,X,X,X,X
"25.4 Fabricação de artigos de cutelaria, de serralheria e ferramentas",c,Total,10024,86782,72701,2310353,"2,9"
"25.4 Fabricação de artigos de cutelaria, de serralheria e ferramentas",c,0 a 4,6530,13465,5322,114132,"1,7"
"25.4 Fabricação de artigos de cutelaria, de serralheria e ferramentas",c,5 a 9,1925,12443,9291,195059,2
"25.4 Fabricação de artigos de cutelaria, de serralheria e ferramentas",c,10 a 19,985,13133,11378,283811,"2,3"
"25.4 Fabricação de artigos de cutelaria, de serralheria e ferramentas",c,20 a 29,237,5662,5210,135897,"2,5"
"25.4 Fabricação de artigos de cutelaria, de serralheria e ferramentas",c,30 a 49,163,6123,5857,166349,"2,7"
"25.4 Fabricação de artigos de cutelaria, de serralheria e ferramentas",c,50 a 99,105,7204,7033,246465,"3,3"
"25.4 Fabricação de artigos de cutelaria, de serralheria e ferramentas",c,100 a 249,46,6710,6626,240358,"3,4"
"25.4 Fabricação de artigos de cutelaria, de serralheria e ferramentas",c,250 a 499,20,7027,7005,309447,4
"25.4 Fabricação de artigos de cutelaria, de serralheria e ferramentas",c,500 ou mais,13,15015,14979,618835,"3,7"
"25.5 Fabricação de equipamento bélico pesado, armas de fogo e munições",c,Total,19,8544,8516,413462,"4,7"
"25.5 Fabricação de equipamento bélico pesado, armas de fogo e munições",c,0 a 4,8,14,3,47,"1,5"
"25.5 Fabricação de equipamento bélico pesado, armas de fogo e munições",c,5 a 9,1,X,X,X,X
"25.5 Fabricação de equipamento bélico pesado, armas de fogo e munições",c,10 a 19,-,-,-,-,-
"25.5 Fabricação de equipamento bélico pesado, armas de fogo e munições",c,20 a 29,2,X,X,X,X
"25.5 Fabricação de equipamento bélico pesado, armas de fogo e munições",c,30 a 49,1,X,X,X,X
"25.5 Fabricação de equipamento bélico pesado, armas de fogo e munições",c,50 a 99,1,X,X,X,X
"25.5 Fabricação de equipamento bélico pesado, armas de fogo e munições",c,100 a 249,-,-,-,-,-
"25.5 Fabricação de equipamento bélico pesado, armas de fogo e munições",c,250 a 499,1,X,X,X,X
"25.5 Fabricação de equipamento bélico pesado, armas de fogo e munições",c,500 ou mais,5,7934,7926,392534,"4,8"
25.9 Fabricação de produtos de metal não especificados anteriormente,c,Total,10903,154781,137927,4538538,3
25.9 Fabricação de produtos de metal não especificados anteriormente,c,0 a 4,5231,11338,4418,125350,"1,9"
25.9 Fabricação de produtos de metal não especificados anteriormente,c,5 a 9,2315,15319,11357,255714,2
25.9 Fabricação de produtos de metal não especificados anteriormente,c,10 a 19,1842,25011,21610,535642,"2,3"
25.9 Fabricação de produtos de metal não especificados anteriormente,c,20 a 29,590,14027,12938,332013,"2,4"
25.9 Fabricação de produtos de metal não especificados anteriormente,c,30 a 49,418,15880,15263,390408,"2,4"
25.9 Fabricação de produtos de metal não especificados anteriormente,c,50 a 99,294,20135,19636,556210,"2,6"
25.9 Fabricação de produtos de metal não especificados anteriormente,c,100 a 249,152,22930,22659,868326,"3,5"
25.9 Fabricação de produtos de metal não especificados anteriormente,c,250 a 499,37,12486,12420,579926,"4,2"
25.9 Fabricação de produtos de metal não especificados anteriormente,c,500 ou mais,24,17655,17626,894950,"4,6"
26.1 Fabricação de componentes eletrônicos,c,Total,1059,14888,13264,460640,"3,1"
26.1 Fabricação de componentes eletrônicos,c,0 a 4,555,X,X,X,X
26.1 Fabricação de componentes eletrônicos,c,5 a 9,182,1231,907,21132,"2,1"
26.1 Fabricação de componentes eletrônicos,c,10 a 19,158,2155,1874,48090,"2,2"
26.1 Fabricação de componentes eletrônicos,c,20 a 29,55,1317,1233,32082,"2,3"
26.1 Fabricação de componentes eletrônicos,c,30 a 49,59,2258,2162,57874,"2,4"
26.1 Fabricação de componentes eletrônicos,c,50 a 99,28,1895,1861,51320,"2,4"
26.1 Fabricação de componentes eletrônicos,c,100 a 249,16,2477,2455,104654,"4,2"
26.1 Fabricação de componentes eletrônicos,c,250 a 499,4,1250,1249,66988,"4,3"
26.1 Fabricação de componentes eletrônicos,c,500 ou mais,2,X,X,X,X
26.2 Fabricação de equipamentos de informática e periféricos,c,Total,649,36155,35162,1682582,"4,1"
26.2 Fabricação de equipamentos de informática e periféricos,c,0 a 4,342,691,213,11380,"2,5"
26.2 Fabricação de equipamentos de informática e periféricos,c,5 a 9,121,786,552,13510,"2,1"
26.2 Fabricação de equipamentos de informática e periféricos,c,10 a 19,83,1113,946,28310,"2,7"
26.2 Fabricação de equipamentos de informática e periféricos,c,20 a 29,24,554,522,16766,3
26.2 Fabricação de equipamentos de informática e periféricos,c,30 a 49,17,645,624,26600,"3,2"
26.2 Fabricação de equipamentos de informática e periféricos,c,50 a 99,25,1828,1800,79941,"3,3"
26.2 Fabricação de equipamentos de informática e periféricos,c,100 a 249,13,2154,2139,97653,"3,8"
26.2 Fabricação de equipamentos de informática e periféricos,c,250 a 499,11,3571,3559,145707,"3,5"
26.2 Fabricação de equipamentos de informática e periféricos,c,500 ou mais,13,24813,24807,1262716,"4,5"
26.3 Fabricação de equipamentos de comunicação,c,Total,348,30483,29950,1542755,"4,3"
